N1,N2,OPERADOR
6012595000,6012596199,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012596200,6012596999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012599000,6012599999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012600000,6012609999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012610000,6012610999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012611000,6012612999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012613000,6012613999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012614000,6012614999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012615000,6012616999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012617000,6012619999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012620000,6012621999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012622000,6012622999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012623000,6012623999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012624000,6012625999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012626000,6012626999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012627000,6012627999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012628000,6012628199,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012628200,6012629999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012630000,6012635999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012636000,6012637999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012638000,6012649999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012650000,6012654999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012655000,6012657999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012658000,6012659999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012660000,6012660999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012661000,6012666999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012667000,6012669999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012670000,6012677999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012678000,6012679999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012680000,6012680999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012681000,6012681999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012682000,6012682999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012683000,6012684999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012685000,6012686999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012687000,6012687999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012688000,6012688999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012690000,6012690999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012691000,6012693999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012694000,6012696999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012697000,6012699999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012700000,6012711999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012712000,6012719999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012720000,6012729499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012729500,6012739999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012740000,6012750999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012752000,6012754999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012755000,6012755999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012756000,6012756999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012757000,6012758999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012760000,6012761099,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012761100,6012765999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012766000,6012766999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012767000,6012769999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012770000,6012770999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012771000,6012771999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012772000,6012784999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012785000,6012793599,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012793600,6012793999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012794000,6012799999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012800000,6012802999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012803000,6012803999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012804000,6012809999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012810000,6012810999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012811000,6012819999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012820000,6012820999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012821000,6012821199,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012821200,6012821999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012822000,6012823999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012824000,6012829999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012830000,6012833999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012834000,6012834999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012835000,6012835999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012836000,6012837999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012838000,6012839999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012840000,6012841999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012842000,6012843999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012844000,6012845899,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012845900,6012848099,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012848100,6012848999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012849000,6012849999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
